creekname,geotype,creeksample,rich.can,div.can,rich.ba,div.ba,rich.stem,div.stem,AvgFloodDuration,FloodFrequency,AvgPeriodBtwnFloods,CatchmentAreaSqKm,WatershedAreaSqKm,PctOpenwater2019Ws,PctUrbOpenSpace2019Ws,PctUrbLo2019Ws,PctUrbMd2019Ws,PctUrbHi2019Ws,PctImpervious2019Ws,PctBarren2019Ws,PctDecid2019Ws,PctConif2019Ws,PctMxFst2019Ws,PctShrb2019Ws,PctGrs2019Ws,PctHay2019Ws,PctCrop2019Ws,PctAg2019WS,PctWoodyWetland2019Ws,PctHbWet2019Ws,PctImp2019CatRp100,PctImp2019WsRp100
Maverick,ActiveChannel,MC.AC,14,1.939807251,17,2.097490531,17,1.987339448,85.4,1.4,194.3,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Maverick,Island,MC.ISL,4,1.149152377,NA,NA,NA,NA,2.3,0.8,275.2,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Maverick,SecondaryActiveChannel,MC.SAC,5,1.446413898,NA,NA,NA,NA,7.8,1.4,196.1,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Maverick,ActiveChannelShelf,MC.ACS,14,2.021444516,13,1.786356279,13,1.832032093,7.8,1.4,196.1,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Maverick,Floodplain,MC.FP,11,1.916020795,14,2.125070458,14,2.181894532,2.3,0.8,275.2,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Maverick,RiparianTerrace,MC.RT,16,1.914834665,14,1.694496411,14,1.827077195,0.3,0.3,422.8,17.9,17.9,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0.01,0,0,20.6,20.6
Salado,ActiveChannel,SC.AC,6,1.327938811,10,1.31314474,10,1.073542047,5.6,2.1,153.7,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
Salado,Island,SC.ISL,4,0.961479462,9,0.832190556,9,1.992198018,2.8,0.5,461.9,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
Salado,SecondaryActiveChannel,SC.SAC,4,1.244016109,2,0.161143214,2,0.636514168,3.4,1.6,197.9,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
Salado,ActiveChannelShelf,SC.ACS,5,1.023710512,6,1.359812816,6,0.904581927,3.4,1.6,197.9,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
Salado,Floodplain,SC.FP,5,1.146862724,10,1.16509272,10,0.980939408,2.8,0.5,461.9,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
Salado,RiparianTerrace,SC.RT,14,1.754094899,17,1.939808615,17,1.774574845,3.5,0.3,692.4,42.4,91.3,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0,0.02,0,17.89,8.85
LeonCreekTrib,ActiveChannel,LCT.AC,6,1.128395171,10,1.248335285,10,1.565714619,1.8,13.1,26.6,2.7,2.7,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,54.5,54.5
LeonCreekTrib,Island,LCT.ISL,3,0.986259876,NA,NA,NA,NA,0.3,0,585,2.7,2.7,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,54.5,54.5
LeonCreekTrib,ActiveChannelShelf,LCT.ACS,5,0.757008839,6,1.124642015,6,1.59972205,0.6,0,585,2.7,2.7,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,54.5,54.5
LeonCreekTrib,Floodplain,LCT.FP,5,0.905005794,7,1.31811591,7,1.431896056,0.3,0,585,2.7,2.7,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,54.5,54.5
LeonCreekTrib,RiparianTerrace,LCT.RT,6,1.325161447,8,1.601523632,8,1.53610136,0.3,0,585,2.7,2.7,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,54.5,54.5
French,ActiveChannel,FC.AC,7,1.271298061,6,1.12272636,6,0.995490941,29.8,18.4,20.7,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
French,Island,FC.ISL,2,0.661563238,NA,NA,NA,NA,1.4,4.6,73.2,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
French,SecondaryActiveChannel,FC.SAC,4,1.155436884,3,0.070278878,3,0.501046914,4.2,11.5,43.4,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
French,ActiveChannelShelf,FC.ACS,7,1.474889868,2,0.233088789,2,0.693147181,4.2,11.5,43.4,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
French,Floodplain,FC.FP,7,1.286918142,8,1.265292143,8,0.789036057,1.4,4.6,73.2,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
French,RiparianTerrace,FC.RT,14,1.538371613,13,1.83832907,13,1.298854664,0.3,2.3,76.8,19.1,31.7,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.01,0.09,0,20.6,21
GovernmentCanyon,ActiveChannel,GC.AC,13,1.824915641,14,1.829052559,14,1.815854544,1.8,0,565,7.7,37.9,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0.05,0,0,2.1,0.73
GovernmentCanyon,Island,GC.ISL,6,1.542671969,4,1.349341057,4,1.307149754,0.3,0,565,7.7,37.9,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0.05,0,0,2.1,0.73
GovernmentCanyon,ActiveChannelShelf,GC.ACS,9,1.79093161,12,1.863953872,12,1.819012392,0.6,0,565,7.7,37.9,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0.05,0,0,2.1,0.73
GovernmentCanyon,Floodplain,GC.FP,10,1.938865731,1,0,1,0,0.3,0,565,7.7,37.9,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0.05,0,0,2.1,0.73
GovernmentCanyon,RiparianTerrace,GC.RT,12,1.930883937,10,1.657834179,10,1.590158234,0.3,0,565,7.7,37.9,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0.05,0,0,2.1,0.73
GovernmentCanyonTrib,ActiveChannel,GCT.AC,11,1.858061776,12,1.524004545,12,1.392745447,1.8,0,345,2.3,2.3,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0
GovernmentCanyonTrib,Island,GCT.ISL,9,1.867481234,7,1.126120229,7,1.425946188,0.3,0,345,2.3,2.3,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0
GovernmentCanyonTrib,ActiveChannelShelf,GCT.ACS,9,1.822452008,10,1.367391661,10,1.260971626,0.6,0,345,2.3,2.3,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0
GovernmentCanyonTrib,Floodplain,GCT.FP,12,1.904013175,10,1.123257905,10,0.848980481,0.3,0,345,2.3,2.3,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0
GovernmentCanyonTrib,RiparianTerrace,GCT.RT,9,1.682316232,13,1.341415695,13,1.293325641,0.3,0,345,2.3,2.3,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0
Huesta,ActiveChannel,HC.AC,13,1.388554713,17,1.192061864,17,0.375590944,61.1,7,50.7,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
Huesta,Island,HC.ISL,3,0.306829153,2,0.592497096,2,0.62549136,8.2,2.5,123.3,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
Huesta,SecondaryActiveChannel,HC.SAC,5,1.273254519,3,0.825562755,3,0.121691433,31.6,4,50.7,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
Huesta,ActiveChannelShelf,HC.ACS,13,1.739642557,17,2.093889573,17,1.528308732,31.6,4,50.7,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
Huesta,Floodplain,HC.FP,13,1.671830022,10,1.817691006,10,1.691296968,8.2,2.5,123.3,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
Huesta,RiparianTerrace,HC.RT,19,2.050843893,21,2.182025667,21,1.705701675,3.2,1.5,173.2,6.1,14.2,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.01,0.03,0,21.59,14.18
LeonCreek,ActiveChannel,LC.AC,9,1.730277991,8,0.721448568,8,1.465316926,60.1,3.7,89.7,20.1,112.3,0.05,12.68,12.55,12.02,5.74,18.12,1.17,1.76,32.72,0.04,18.75,2.51,0.01,0,0.01,0,0,23.63,13.14
