dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
1,MC.1,Maverick,Active Channel,0,57.3,0,0,1.8,5.4,0,73.21,0,0,1.8,3.6,0,14.4,60.62,0,0.2,0,0.2,0,60.51,0,0,0,1.8,0,0.8,0,0,25.46,0,4.2,11.32,12.24,0,0,0
2,MC.4,Maverick,Active Channel Shelf,0,35.55,0,0,3.6,0,0,125.15,0,0,0,37.8,28.77,1.8,8.29,5.4,0,3.4,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,24.53,120.52,0,0,0
3,MC.5,Maverick,Floodplain,3.6,20.91,0,0,3.6,0,0,59.2,0,0,0,5.4,0,12.6,38.4,3.6,0,20.6,0,0,2,0,4.2,3.8,0,0,0,0,0,0,0,0,16,61.98,0,0,0
4,MC.6,Maverick,Riparian Terrace,27,228.68,0,0,3.6,0,0,160.96,0,0,0,21.6,0,32.4,31.17,7.2,0,20.4,0.2,0,2.4,0.2,0,0,0,0,0,0,0,0,0,0,514.21,161.27,0,0,0
5,SC.1,Salado,Active Channel,0,0.2,0,0,0,3.6,0,47,0,0,0,0,0,3.6,3.8,0,0,0,0,0,71.54,1,0.2,0,0,0,0,0,0,0,0,0.2,0,19.6,0,0,0
6,SC.2,Salado,Island-midbar/island,0,46.47,0,0,0,1.8,0,1,0.4,0,0,0,0,1.8,0.2,0,0,0,0,0,1.2,0,0,4.6,0,0,0,0,0,0,0,0.4,0,0,0,0,0
7,SC.3,Salado,Secondary Active Channel,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SC.4,Salado,Active Channel Shelf,0,57.46,0,0,0,0,0,154.76,0,0,0,0,0,0,20.85,0,0,0,0,0,10.8,0,12.42,0,0,0,0,0,0,0,0,0,0,36.4,0,0,0
9,SC.5,Salado,Floodplain,0,4.2,0,0,0,5.4,0,53.9,0,0,0,0,0,0,18.01,0,0,0,0,0,276.16,0,0,0,0,0,25.2,0,0,0,4,0.2,0.2,24.31,0,0,0
10,SC.6,Salado,Riparian Terrace,3.6,194.44,0,0,0,41.4,0,166.07,1,0,0,23.4,0,0,45.98,0,19,0,0,0,80.14,0.2,3.8,2,0,0,0.4,0,4.2,0,0,4.2,0.4,137.59,0,0,0
11,LCT.1,Leon Creek Trib,Active Channel,1.8,208.61,0,0,0,1.8,0,23.8,0,0,0,1.8,0,0,7.2,0,0,0,0,0,115.28,0,0.2,0,0,0,0,0,0,0,0,0.2,0,39.88,0,0,0
12,LCT.3,Leon Creek Trib,Active Channel Shelf,10.8,45.4,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0.2,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0
13,LCT.4,Leon Creek Trib,Floodplain,3.6,49.32,0,0,0,0,0,14.88,0,0,0,0,0,0,0.4,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0.2,0,11.6,0,0,0
14,LCT.5,Leon Creek Trib,Riparian Terrace,64.8,31.05,0,0,0,1.8,0,45.4,0,0,0,0,0,5.4,2,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,44.55,0,0,0
15,FC.1,French,Active Channel,0,0,0,0,0,0,0,18.61,0,0.2,0,0,0,0,0.2,0,0,0,0,0,9.65,0,0,0,7.2,0,0,0,0,0,0,0,0,0.4,0,0,0
16,FC.3,French,Secondary Active Channel,0,0,0,0,0,0,0,51.42,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
17,FC.4,French,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FC.5,French,Floodplain,1.8,13.21,0,0,0,0,0,67.57,0,0,0,0,2.29,0,56.43,0,0,0,0,0,151.65,0,0,0,0,0,0,0,0,0,0,0,0.2,4,0,0,0
19,FC.6,French,Riparian Terrace,48.46,0.6,0,0,0,0,0,158.77,0,5.66,0,9,0,0,32.76,0,12.83,7.96,0,1.6,44.51,0,0,0,5.4,0,0,0,0,0,0,0,3.23,67.87,0,0,0
20,GC.1,Gov Canyon,Active Channel,1.8,119.42,0,0,1.8,0,0,382.2,0,0,0,28.8,0,27,72.72,3.6,0,0,0,0,0,0,0,9.9,1.8,0,0,0,0,39.68,0,23.2,61.32,72.58,0,0,0
21,GC.2,Gov Canyon,Island-midbar/island,16.2,8.63,0,0,0,0,0,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0
22,GC.3,Gov Canyon,Active Channel Shelf,0,22.74,0,0,1.8,0,0,121.98,0,0,0,0,0,21.6,38.4,1.8,7.61,0,0,0,4,0,0,0,0,0,0,1.8,0,0,0,11.6,87.91,60.86,0,0,0
23,GC.4,Gov Canyon,Floodplain,0,47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GC.5,Gov Canyon,Riparian Terrace,1.8,55.82,0,0,0,1.8,0,66.09,0,0,0,0,0,10.8,41.52,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,171.02,131.78,0,0,0
25,GCT.1,Gov Canyon Trib,Active Channel,5.4,31.45,0,0,7.01,3.6,0,332.79,0,0,0,0,0,0,26.54,3.6,0,15.69,0,0,39.8,0,0,0,0,0,30.6,0,0,0,0,0,480.98,105.34,0,0,0
26,GCT.2,Gov Canyon Trib,Island-midbar/island,0,28.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.71,0,0,7.4,0,0,0,0,0,0,5.38,0,0,0,0,152.18,30.61,0,0,0
27,GCT.3,Gov Canyon Trib,Active Channel Shelf,0,8,0,0,0,5.4,0,72.81,0,0,0,0,0,0,64.72,0,0,74.06,0,0,68.4,0,0,0,0,0,0,3.6,0,0,0,3.8,539.05,40.83,0,0,0
28,GCT.4,Gov Canyon Trib,Floodplain,0,29.34,0,0,0,1.8,0,90.03,0,0,0,1.8,0,0,5.08,0,0,41.05,0,0,0,0,0,0,0,0,0,3.6,0,0,0,3.8,509.42,61.25,0,0,0
29,GCT.5,Gov Canyon Trib,Riparian Terrace,1.8,52.1,0,0,0,1.8,0,11,0,0,0,1.8,0,5.4,4,5.4,0,7.42,0,0,3.8,0,0,4.8,0,0,0,0,0,0,0,0,256.21,70.03,0,0,0
30,HC.1,Huesta,Active Channel,0,15.69,0,0,0,0,0,391.83,12.22,0,0,0,3.8,3.6,16.79,0,8.2,0.2,4.2,3.8,2.8,0,0,0,9,0,3.8,0,0,0,0,21.41,11.52,8.2,0,5.17,0
31,HC.2,Huesta,Island-midbar/island,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HC.3,Huesta,Secondary Active Channel,0,19.43,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0
33,HC.4,Huesta,Active Channel Shelf,12.6,101.92,0,0,0,0,0,98.19,14.65,0,0,1.8,0,5.4,18.87,5.4,0,0.4,0,0.8,3.4,0,0,0,1.8,0,9.26,0,0,0,0,18.24,23.4,43.4,0,7.2,0
34,HC.5,Huesta,Floodplain,3.6,38.49,0,0,2.86,0,0,46.85,12.11,0,0,7.2,0,0,26.11,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.4,0,20.6,0,0,0
35,HC.6,Huesta,Riparian Terrace,109.8,185.18,60.62,0,0,21.6,0,363.7,40.68,0,9,30.6,0,19.8,107.07,16.2,0,13.6,0.4,1.8,17.63,0,0,0,0,0,4,0,0.4,0,0,0.2,20.6,54.8,0,5.4,0
36,LC.1,Leon,Active Channel,0,0,0,33.78,0,1.8,0,110.67,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0.2,0.4,0.4,0,0
37,LC.2,Leon,Island-midbar/island,0,0,0,34.43,0,0,17.13,26.86,0,0,0,0,0,1.8,5.08,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0
38,LC.4,Leon,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4,0,0,0
39,LC.5,Leon,Floodplain,0,0,0,0,0,0,0,207.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,LC.6,Leon,Riparian Terrace,5.4,13.2,0,0,7.17,32.4,0,137.5,0,0,0,0,0,47.02,15.86,0,0,1,45.49,0,10.8,0,0,0.4,5.04,0,0.8,0,0,0,0,0,0,172.24,56.9,0,1.8
