dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
1,MC.1,Maverick,Active Channel,0,0.127267221,0,0,0.022556697,0.039069345,0,0.143854832,0,0,0.022556697,0.031899987,0,0.063799973,0.130902282,0,0.007518899,0,0.007518899,0,0.130783461,0,0,0,0.022556697,0,0.015037798,0,0,0.084833708,0,0.034455924,0.056566911,0.058820669,0,0,0
2,MC.4,Maverick,Active Channel Shelf,0,0.106905081,0,0,0.034019646,0,0,0.20058293,0,0,0,0.110236253,0.096171962,0.024055523,0.051624494,0.041665387,0,0.033061154,0,0,0.008018508,0.008018508,0,0,0,0,0,0,0,0,0,0,0.088802935,0.19683762,0,0,0
3,MC.5,Maverick,Floodplain,0.036590813,0.088185632,0,0,0.036590813,0,0,0.148382152,0,0,0,0.044814411,0,0.068455144,0.119505096,0.036590813,0,0.087529495,0,0,0.027273182,0,0.039522596,0.037593487,0,0,0,0,0,0,0,0,0.077140208,0.151826157,0,0,0
4,MC.6,Maverick,Riparian Terrace,0.054214501,0.157778445,0,0,0.019796337,0,0,0.132370912,0,0,0,0.048490924,0,0.05938901,0.058250812,0.027996248,0,0.047124707,0.004666041,0,0.016163641,0.004666041,0,0,0,0,0,0,0,0,0,0,0.236594061,0.13249832,0,0,0
5,SC.1,Salado,Active Channel,0,0.01607138,0,0,0,0.068185089,0,0.246369585,0,0,0,0,0,0.068185089,0.07005352,0,0,0,0,0,0.303957337,0.035936697,0.01607138,0,0,0,0,0,0,0,0,0.01607138,0,0.159098542,0,0,0
6,SC.2,Salado,Island-midbar/island,0,0.44115123,0,0,0,0.086823524,0,0.064714434,0.040929002,0,0,0,0,0.086823524,0.028941175,0,0,0,0,0,0.070891111,0,0,0.138796998,0,0,0,0,0,0,0,0.040929002,0,0,0,0,0
7,SC.3,Salado,Secondary Active Channel,0,0,0,0,0,0,0,0.834432735,0,0,0,0,0,0,0,0,0,0,0,0,0.165567265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SC.4,Salado,Active Channel Shelf,0,0.202515246,0,0,0,0,0,0.332356574,0,0,0,0,0,0,0.121991042,0,0,0,0,0,0.087798438,0,0.094153336,0,0,0,0,0,0,0,0,0,0,0.161185364,0,0,0
9,SC.5,Salado,Floodplain,0,0.045119258,0,0,0,0.05116043,0,0.161633615,0,0,0,0,0,0,0.09343168,0,0,0,0,0,0.365862325,0,0,0,0,0,0.110519159,0,0,0,0.044031887,0.009845829,0.009845829,0.108549988,0,0,0
10,SC.6,Salado,Riparian Terrace,0.02313969,0.170058795,0,0,0,0.078470508,0,0.15716357,0.012195688,0,0,0.058994866,0,0,0.082697194,0,0.05315977,0,0,0,0.109176951,0.005454077,0.023773772,0.017247307,0,0,0.00771323,0,0.024993722,0,0,0.024993722,0.00771323,0.143053908,0,0,0
11,LCT.1,Leon Creek Trib,Active Channel,0.030508195,0.328433781,0,0,0,0.030508195,0,0.110935038,0,0,0,0.030508195,0,0,0.06101639,0,0,0,0,0,0.244150289,0,0.010169398,0,0,0,0,0,0,0,0,0.010169398,0,0.143601122,0,0,0
12,LCT.3,Leon Creek Trib,Active Channel Shelf,0.19292125,0.395545198,0,0,0,0,0,0.114435294,0,0,0,0,0,0,0,0,0,0.026253257,0,0,0.087072203,0,0,0,0,0,0,0,0,0,0,0,0,0.183772798,0,0,0
13,LCT.4,Leon Creek Trib,Floodplain,0.077369769,0.286372682,0,0,0,0,0,0.157297391,0,0,0,0,0,0,0.025789923,0,0,0,0,0,0.296051019,0,0,0,0,0,0,0,0,0,0,0.01823623,0,0.138882987,0,0,0
14,LCT.5,Leon Creek Trib,Riparian Terrace,0.23465403,0.162431897,0,0,0,0.039109005,0,0.196412191,0,0,0,0,0,0.067738784,0.041224511,0,0,0,0,0,0.063864738,0,0,0,0,0,0,0,0,0,0,0,0,0.194564843,0,0,0
15,FC.1,French,Active Channel,0,0,0,0,0,0,0,0.370914065,0,0.038451662,0,0,0,0,0.038451662,0,0,0,0,0,0.267093779,0,0,0,0.230709971,0,0,0,0,0,0,0,0,0.054378862,0,0,0
16,FC.3,French,Secondary Active Channel,0,0,0,0,0,0,0,0.869138044,0,0,0,0,0,0,0,0,0,0,0,0,0.076657159,0,0,0,0,0,0,0,0,0,0,0,0,0.054204797,0,0,0
17,FC.4,French,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79514831,0,0,0,0,0,0.20485169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FC.5,French,Floodplain,0.036276839,0.098275348,0,0,0,0,0,0.22226452,0,0,0,0,0.040917673,0,0.203117905,0,0,0,0,0,0.332977118,0,0,0,0,0,0,0,0,0,0,0,0.01209228,0.054078318,0,0,0
19,FC.6,French,Riparian Terrace,0.119737689,0.013323392,0,0,0,0,0,0.216732175,0,0.040921108,0,0.051601274,0,0,0.098448956,0,0.061610183,0.04852837,0,0.021757007,0.114754035,0,0,0,0.039970175,0,0,0,0,0,0,0,0.030912948,0.141702689,0,0,0
20,GC.1,Gov Canyon,Active Channel,0.015581838,0.126917342,0,0,0.015581838,0,0,0.227053278,0,0,0,0.062327352,0,0.060348199,0.099039712,0.022036047,0,0,0,0,0,0,0,0.036542649,0.015581838,0,0,0,0,0.073159085,0,0.055940511,0.09094598,0.098944331,0,0,0
21,GC.2,Gov Canyon,Island-midbar/island,0.260316933,0.18999856,0,0,0,0,0,0.280131102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269553405,0,0,0,0
