dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Frangula caroliniana,Ulmus crassifolia,Melia azedarach,Pistacia chinensis,Triadica sebifera,Condalia viridis,Populus deltoides,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Maclura pomifera,Carya illinoinensis,Ilex decidua,Baccharis neglecta,Rhus lanceolata,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima
dummy,MC.1,Maverick,Active Channel,0,28,0,0,0,0,0,0,55,0,0,0,1,0,2,0,0,26,0,0,1,1,0,18,2,0,0,0,0,0,0,0,12,0,0,3,1,11,2,0,0
dummy,MC.2,Maverick,Island-midbar/island,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dummy,MC.3,Maverick,Secondary Active Channel,0,3,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
dummy,MC.4,Maverick,Active Channel Shelf,2,26,0,0,0,1,0,0,35,0,0,0,2,0,6,0,1,9,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,6,18,0,0
dummy,MC.5,Maverick,Floodplain,0,23,0,0,3,0,0,0,35,0,0,0,0,0,2,0,2,18,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,10,9,0,0
dummy,MC.6,Maverick,Riparian Terrace,1,54,0,0,0,1,0,0,77,0,3,0,1,0,3,1,1,20,0,3,2,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,15,33,0,0
dummy,SC.1,Salado,Active Channel,0,34,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0
dummy,SC.2,Salado,Island-midbar/island,0,16,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummy,SC.3,Salado,Secondary Active Channel,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
dummy,SC.4,Salado,Active Channel Shelf,0,5,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
dummy,SC.5,Salado,Floodplain,0,10,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,4,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
dummy,SC.6,Salado,Riparian Terrace,2,213,0,0,0,8,0,0,136,0,7,0,0,0,2,0,0,57,0,2,0,0,0,252,0,0,12,0,8,0,0,0,5,0,4,0,0,0,92,0,0
dummy,BC.1,Leon Creek Trib,Active Channel,0,184,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0
dummy,BC.2,Leon Creek Trib,Island-midbar/island,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
dummy,BC.3,Leon Creek Trib,Active Channel Shelf,0,92,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
dummy,BC.4,Leon Creek Trib,Floodplain,2,58,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dummy,BC.5,Leon Creek Trib,Riparian Terrace,7,56,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
dummy,FC.1,French,Active Channel,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,26,0,0,0,0,0,52,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
dummy,FC.2,French,Island-midbar/island,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummy,FC.3,French,Secondary Active Channel,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummy,FC.4,French,Active Channel Shelf,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,17,0,3,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
dummy,FC.5,French,Floodplain,0,3,0,0,0,0,0,0,33,0,0,0,0,0,0,2,0,18,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
dummy,FC.6,French,Riparian Terrace,4,45,0,0,0,0,0,0,260,0,0,6,0,0,0,3,0,86,0,3,4,0,0,241,3,0,0,0,0,0,2,0,0,0,0,0,0,6,27,0,1
dummy,GC.1,Gov Canyon,Active Channel,0,23,0,0,2,0,0,0,64,1,0,0,0,0,1,0,2,13,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,3,4,20,0,0
dummy,GC.2,Gov Canyon,Island-midbar/island,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
dummy,GC.3,Gov Canyon,Active Channel Shelf,0,11,0,0,0,0,1,0,19,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,17,0,0
dummy,GC.4,Gov Canyon,Floodplain,0,11,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,0
dummy,GC.5,Gov Canyon,Riparian Terrace,3,18,0,0,2,1,0,0,26,2,0,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,30,0,0
dummy,CC.1,Gov Canyon Trib,Active Channel,0,32,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,21,1,6,3,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,2,83,29,0,0
