dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Frangula caroliniana,Ulmus crassifolia,Melia azedarach,Pistacia chinensis,Triadica sebifera,Condalia viridis,Populus deltoides,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Maclura pomifera,Carya illinoinensis,Ilex decidua,Baccharis neglecta,Rhus lanceolata,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima
1,MC.1,Maverick,Active Channel,0,0.136362137,0,0,0,0,0,0,0.191115596,0,0,0,0.025770022,0,0.036444314,0,0,0.131401843,0,0,0.025770022,0.025770022,0,0.109332942,0.036444314,0,0,0,0,0,0,0,0.089269974,0,0,0.044634987,0.025770022,0.085469493,0.036444314,0,0
2,MC.2,Maverick,Island-midbar/island,0,0.343349177,0,0,0,0,0,0,0.343349177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183527855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129773791,0,0,0
3,MC.3,Maverick,Secondary Active Channel,0,0.161138315,0,0,0,0,0,0,0.308556383,0,0,0,0,0,0.161138315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161138315,0.208028671,0,0
4,MC.4,Maverick,Active Channel Shelf,0.041762227,0.150575849,0,0,0,0.029530354,0,0,0.174703928,0,0,0,0.041762227,0,0.072334298,0,0.029530354,0.088591061,0,0,0.041762227,0,0,0.051148073,0,0,0,0,0.029530354,0,0,0,0,0,0,0,0.051148073,0.072334298,0.12528668,0,0
5,MC.5,Maverick,Floodplain,0,0.157709066,0,0,0.056957822,0,0,0,0.194547998,0,0,0,0,0,0.046505867,0,0.046505867,0.1395176,0,0,0,0,0,0.065769227,0,0,0,0.056957822,0.032884614,0,0,0,0,0,0,0,0,0.103990279,0.098653841,0,0
6,MC.6,Maverick,Riparian Terrace,0.021194352,0.155746047,0,0,0,0.021194352,0,0,0.185979688,0,0.036709695,0,0.021194352,0,0.036709695,0.021194352,0.021194352,0.094784025,0,0.036709695,0.029973341,0,0,0.09238404,0.021194352,0,0,0,0,0,0,0,0,0,0,0,0,0.082085374,0.121752285,0,0
7,SC.1,Salado,Active Channel,0,0.244846717,0,0,0,0,0,0,0.322537958,0,0,0,0,0,0,0,0,0.083981731,0,0,0,0,0,0.178152155,0,0,0,0,0,0,0,0,0,0,0.111097388,0,0,0,0.059384052,0,0
8,SC.2,Salado,Island-midbar/island,0,0.371294739,0,0,0,0,0,0,0.404609062,0,0,0,0,0,0,0,0,0.092823685,0,0,0,0,0,0.131272514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SC.3,Salado,Secondary Active Channel,0,0.297446226,0,0,0,0,0,0,0.309591848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271530013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121431913,0,0
10,SC.4,Salado,Active Channel Shelf,0,0.129373253,0,0,0,0,0,0,0.417216203,0,0,0,0,0,0,0,0,0.081822829,0,0,0,0,0,0.271375624,0,0,0,0,0,0,0,0,0,0,0.100212091,0,0,0,0,0,0
