dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
1,MC.1,Maverick,Active Channel,0,16,0,0,1,3,0,64,0,0,1,2,0,8,27,0,1,0,1,0,5,0,0,0,1,0,4,0,0,1,0,3,6,13,0,0,0
2,MC.4,Maverick,Active Channel Shelf,0,8,0,0,2,0,0,92,0,0,0,21,7,1,13,3,0,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0
3,MC.5,Maverick,Floodplain,2,1,0,0,2,0,0,26,0,0,0,3,0,7,2,2,0,13,0,0,10,0,3,1,0,0,0,0,0,0,0,0,8,18,0,0,0
4,MC.6,Maverick,Riparian Terrace,15,12,0,0,2,0,0,86,0,0,0,12,0,18,6,4,0,12,1,0,12,1,0,0,0,0,0,0,0,0,0,0,150,30,0,0,0
5,SC.1,Salado,Active Channel,0,1,0,0,0,2,0,109,0,0,0,0,0,2,1,0,0,0,0,0,31,5,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0
6,SC.2,Salado,Island-midbar/island,0,3,0,0,0,1,0,5,2,0,0,0,0,1,1,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0
7,SC.3,Salado,Secondary Active Channel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SC.4,Salado,Active Channel Shelf,0,22,0,0,0,0,0,238,0,0,0,0,0,0,7,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0,0,0,20,0,0,0
9,SC.5,Salado,Floodplain,0,3,0,0,0,3,0,109,0,0,0,0,0,0,7,0,0,0,0,0,341,0,0,0,0,0,18,0,0,0,2,1,1,14,0,0,0
10,SC.6,Salado,Riparian Terrace,2,46,0,0,0,23,0,253,5,0,0,13,0,0,24,0,5,0,0,0,84,1,1,10,0,0,2,0,3,0,0,3,2,68,0,0,0
11,LCT.1,Leon Creek Trib,Active Channel,1,55,0,0,0,1,0,101,0,0,0,1,0,0,18,0,0,0,0,0,49,0,1,0,0,0,0,0,0,0,0,1,0,35,0,0,0
12,LCT.3,Leon Creek Trib,Active Channel Shelf,6,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
13,LCT.4,Leon Creek Trib,Floodplain,2,17,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0
14,LCT.5,Leon Creek Trib,Riparian Terrace,36,36,0,0,0,1,0,101,0,0,0,0,0,3,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
15,FC.1,French,Active Channel,0,0,0,0,0,0,0,23,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
16,FC.3,French,Secondary Active Channel,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,FC.4,French,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FC.5,French,Floodplain,1,1,0,0,0,0,0,80,0,0,0,0,1,0,5,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
