dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
1,MC.1,Maverick,Active Channel,0,0.097101511,0,0,0.024275378,0.042046188,0,0.194203022,0,0,0.024275378,0.034330568,0,0.068661137,0.126138563,0,0.024275378,0,0.024275378,0,0.054281395,0,0,0,0.024275378,0,0.048550755,0,0,0.024275378,0,0.042046188,0.059462289,0.087526119,0,0,0
2,MC.4,Maverick,Active Channel Shelf,0,0.067363648,0,0,0.033681824,0,0,0.228441244,0,0,0,0.109141583,0.063012923,0.023816646,0.085872139,0.041251641,0,0.098198547,0,0,0.023816646,0.023816646,0,0,0,0,0,0,0,0,0,0,0.082503282,0.11908323,0,0,0
3,MC.5,Maverick,Floodplain,0.043242007,0.030576717,0,0,0.043242007,0,0,0.155911274,0,0,0,0.052960427,0,0.080898388,0.043242007,0.043242007,0,0.110245919,0,0,0.096692068,0,0.052960427,0.030576717,0,0,0,0,0,0,0,0,0.086484014,0.129726022,0,0,0
4,MC.6,Maverick,Riparian Terrace,0.068145503,0.060951191,0,0,0.02488322,0,0,0.163170183,0,0,0,0.060951191,0,0.074649659,0.043099001,0.035190187,0,0.060951191,0.017595093,0,0.060951191,0.017595093,0,0,0,0,0,0,0,0,0,0,0.215495003,0.096372295,0,0,0
5,SC.1,Salado,Active Channel,0,0.035841018,0,0,0,0.050686854,0,0.374191215,0,0,0,0,0,0.050686854,0.035841018,0,0,0,0,0,0.199554344,0.080142953,0.035841018,0,0,0,0,0,0,0,0,0.035841018,0,0.101373708,0,0,0
6,SC.2,Salado,Island-midbar/island,0,0.119599393,0,0,0,0.069050742,0,0.154402153,0.097652496,0,0,0,0,0.069050742,0.069050742,0,0,0,0,0,0.169139084,0,0,0.154402153,0,0,0,0,0,0,0,0.097652496,0,0,0,0,0
7,SC.3,Salado,Secondary Active Channel,0,0,0,0,0,0,0,0.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0.585786438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SC.4,Salado,Active Channel Shelf,0,0.137452336,0,0,0,0,0,0.45209454,0,0,0,0,0,0,0.077533574,0,0,0,0,0,0.124330316,0,0.077533574,0,0,0,0,0,0,0,0,0,0,0.13105566,0,0,0
9,SC.5,Salado,Floodplain,0,0.037316733,0,0,0,0.037316733,0,0.224934586,0,0,0,0,0,0,0.057002251,0,0,0,0,0,0.397850748,0,0,0,0,0,0.091406955,0,0,0,0.030468985,0.021544826,0.021544826,0.080613357,0,0,0
10,SC.6,Salado,Riparian Terrace,0.019991375,0.095875267,0,0,0,0.067794052,0,0.224847433,0.03160914,0,0,0.050968206,0,0,0.069252155,0,0.03160914,0,0,0,0.129558919,0.014136037,0.014136037,0.044702074,0,0,0.019991375,0,0.024484334,0,0,0.024484334,0.019991375,0.116568747,0,0,0
