creekname,geotype,creeksample,native.can,dt.vh.can,dt.h.can,dt.m.can,dt.l.can,ht.vh.can,ht.h.can,ht.mh.can,ht.m.can,ht.l.can,wu.h.can,wu.m.can,wu.lm.can,wu.l.can,at.n.can,at.l.can,at.m.can,at.h.can,ra.y.can,pbc.y.can,native.ba,dt.vh.ba,dt.h.ba,dt.m.ba,dt.l.ba,ht.vh.ba,ht.h.ba,ht.mh.ba,ht.m.ba,ht.l.ba,wu.h.ba,wu.m.ba,wu.lm.ba,wu.l.ba,at.n.ba,at.l.ba,at.m.ba,at.h.ba,ra.y.ba,pbc.y.ba,native.stem,dt.vh.stem,dt.h.stem,dt.m.stem,dt.l.stem,ht.vh.stem,ht.h.stem,ht.mh.stem,ht.m.stem,ht.l.stem,wu.h.stem,wu.m.stem,wu.lm.stem,wu.l.stem,at.n.stem,at.l.stem,at.m.stem,at.h.stem,ra.y.stem,pbc.y.stem
Maverick,ActiveChannel,MC.AC,1,0.171779141,0.27607362,0.54601227,0.006134969,0.773006135,0.208588957,0.018404908,0,0,0.006134969,0.54601227,0,0.447852761,0.871165644,0.018404908,0.110429448,0,0.736196319,0.73006135,1,0.219494714,0.260586514,0.519918772,0,0.644956101,0.279012124,0.076031774,0,0,0,0.519918772,0.043003046,0.437078182,0.759571164,0.011348026,0.223705429,0.005375381,0.707459834,0.670071074,1,0.159235669,0.343949045,0.496815287,0,0.847133758,0.146496815,0.006369427,0,0,0,0.496815287,0.050955414,0.452229299,0.891719745,0.01910828,0.082802548,0.006369427,0.815286624,0.789808917
Maverick,Island,MC.ISL,1,0.411764706,0,0.588235294,0,0.823529412,0.176470588,0,0,0,0,0.588235294,0,0.411764706,0.882352941,0,0.117647059,0,0.588235294,0.529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maverick,SecondaryActiveChannel,MC.SAC,1,0.12,0.2,0.68,0,0.76,0.24,0,0,0,0,0.68,0,0.32,0.88,0.12,0,0,0.88,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maverick,ActiveChannelShelf,MC.ACS,1,0.252173913,0.286956522,0.443478261,0.017391304,0.843478261,0.156521739,0,0,0,0.017391304,0.443478261,0.008695652,0.530434783,0.886956522,0.069565217,0.043478261,0,0.765217391,0.686956522,1,0.094506718,0.422003492,0.474886769,0.008603021,0.746210875,0.253789125,0,0,0,0.008603021,0.474886769,0.004554541,0.511955669,0.890691025,0.104248374,0.005060601,0,0.89182966,0.821158371,1,0.044334975,0.251231527,0.620689655,0.083743842,0.694581281,0.305418719,0,0,0,0.083743842,0.620689655,0.004926108,0.290640394,0.802955665,0.187192118,0.009852217,0,0.9408867,0.798029557
Maverick,Floodplain,MC.FP,1,0.227272727,0.272727273,0.472727273,0.027272727,0.809090909,0.190909091,0,0,0,0.027272727,0.472727273,0.018181818,0.481818182,0.918181818,0.018181818,0.063636364,0,0.772727273,0.672727273,1,0.145023252,0.436828325,0.337645082,0.080503341,0.74832936,0.25167064,0,0,0,0.080503341,0.354058384,0.049239908,0.516198366,0.826487944,0.101606159,0.071905897,0,0.854976748,0.697096409,1,0.102040816,0.275510204,0.489795918,0.132653061,0.530612245,0.469387755,0,0,0,0.132653061,0.520408163,0.071428571,0.275510204,0.653061224,0.163265306,0.183673469,0,0.897959184,0.673469388
Maverick,RiparianTerrace,MC.RT,0.987234043,0.238297872,0.268085106,0.485106383,0.008510638,0.821276596,0.178723404,0,0,0,0.008510638,0.485106383,0.004255319,0.50212766,0.880851064,0.034042553,0.085106383,0,0.753191489,0.693617021,1,0.237829091,0.168118287,0.577211072,0.016841549,0.508945009,0.491054991,0,0,0,0.016841549,0.577211072,0.026748343,0.379199036,0.936596521,0.034673778,0.028729701,0,0.778517118,0.336996095,1,0.12465374,0.121883657,0.720221607,0.033240997,0.426592798,0.573407202,0,0,0,0.033240997,0.720221607,0.049861496,0.1966759,0.850415512,0.066481994,0.083102493,0,0.905817175,0.454293629
Salado,ActiveChannel,SC.AC,1,0.274193548,0.10483871,0.620967742,0,0.798387097,0.201612903,0,0,0,0,0.620967742,0,0.379032258,0.798387097,0.056451613,0.14516129,0,0.725806452,0.669354839,1,0.025208969,0.188403874,0.786387157,0,0.493565079,0.506434921,0,0,0,0,0.787713945,0.023882181,0.188403874,0.501525806,0,0.498474194,0,0.974791031,0.974791031,1,0.01863354,0.111801242,0.869565217,0,0.757763975,0.242236025,0,0,0,0,0.875776398,0.01242236,0.111801242,0.795031056,0,0.204968944,0,0.98136646,0.98136646
Salado,Island,SC.ISL,1,0.421052632,0.026315789,0.552631579,0,0.947368421,0.052631579,0,0,0,0,0.552631579,0,0.447368421,0.947368421,0,0.052631579,0,0.578947368,0.578947368,0.993087956,0.834110938,0.04838431,0.117504752,0,0.948159668,0.051840332,0,0,0,0,0.117504752,0.031104199,0.851391049,0.868671159,0,0.131328841,0,0.158977017,0.086400553,0.923,0.153846154,0.230769231,0.615384615,0,0.730769231,0.269230769,0,0,0,0,0.615384615,0.038461538,0.346153846,0.538461538,0,0.461538462,0,0.769230769,0.653846154
Salado,SecondaryActiveChannel,SC.SAC,1,0.324324324,0.054054054,0.621621622,0,0.72972973,0.27027027,0,0,0,0,0.621621622,0,0.378378378,0.72972973,0,0.27027027,0,0.675675676,0.675675676,1,0,0,1,0,0.962121212,0.037878788,0,0,0,0,1,0,0,0.962121212,0,0.037878788,0,1,1,1,0,0,1,0,0.333333333,0.666666667,0,0,0,0,1,0,0,0.333333333,0,0.666666667,0,1,1
Salado,ActiveChannelShelf,SC.ACS,1,0.05952381,0.05952381,0.880952381,0,0.702380952,0.297619048,0,0,0,0,0.880952381,0,0.119047619,0.702380952,0.035714286,0.261904762,0,0.94047619,0.904761905,1,0.196316922,0.238033414,0.565649663,0,0.920666917,0.079333083,0,0,0,0,0.608083638,0,0.391916362,0.963100892,0,0.036899108,0,0.803683078,0.803683078,1,0.070512821,0.108974359,0.820512821,0,0.919871795,0.080128205,0,0,0,0,0.842948718,0,0.157051282,0.942307692,0,0.057692308,0,0.929487179,0.929487179
